1000000475,345,8,305
1000001101,819,13,107
1000000434,406,15,190
1000001181,154,14,328
1000000105,788,6,63
1000001386,510,1,133
1000000499,565,11,77
1000000468,403,12,112
1000001050,356,1,169
1000000854,697,10,76
1000000793,248,1,232
1000001267,520,14,49
1000000566,854,3,124
1000000385,988,4,119
1000000254,696,2,252
1000000703,870,5,184
1000000530,481,12,297
1000000333,984,3,280
1000000679,417,1,233
1000000450,478,6,172
1000001182,467,12,257
1000000891,811,4,304
1000001173,765,14,179
1000000119,350,4,272
1000000792,245,4,326
1000000680,525,9,281
1000000751,925,4,120
1000000052,253,3,194
1000001400,272,6,269
1000000801,638,9,278
1000000866,237,10,92
1000000611,766,4,131
1000000376,436,6,226
1000001519,865,8,251
1000001062,269,10,143
1000000476,766,3,222
1000000259,359,2,242
1000000358,278,10,59
1000000662,849,13,151
1000001499,835,2,185
1000001237,919,10,129
1000001178,588,4,126
1000000130,654,9,192
1000000457,149,9,49
1000000925,125,12,297
1000000917,163,13,329
1000000497,962,12,88
1000000942,698,12,219
1000001224,804,8,120
1000000895,669,8,339
1000001171,713,4,223
1000000305,901,1,49
1000001301,272,9,217
1000001097,267,5,161
1000000812,841,1,61
1000000968,469,14,218
1000000175,939,9,113
1000000946,325,12,110
1000001142,57,7,48
1000001507,404,11,152
1000000251,794,12,68
1000001287,31,13,311
1000000566,872,10,254
1000000878,44,7,319
1000000051,823,9,116
1000001167,491,7,215
1000000654,766,15,250
1000001313,519,7,296
1000000823,207,4,66
1000000969,691,1,245
1000000419,863,1,86
1000000073,211,9,290
1000001482,482,7,224
1000001470,349,7,151
1000000453,686,4,160
1000001246,153,3,128
1000001167,609,4,111
1000000081,700,1,297
1000001332,901,4,282
1000000551,703,12,116
1000001353,465,11,255
1000001393,985,14,318
1000001429,914,11,60
1000000978,240,11,247
1000000496,465,7,155
1000000731,177,15,225
1000001306,805,8,109
1000000534,669,7,57
1000001200,952,5,148
1000000090,139,9,257
1000001529,76,3,120
1000001134,317,14,113
1000001000,798,3,315
1000000905,971,14,279
1000001352,370,7,240
1000000535,26,10,151
1000001536,980,15,187
1000001287,581,3,133
1000001538,179,15,52
1000001041,601,10,177
1000001207,157,15,143
1000000565,156,1,72
1000000898,877,8,273
1000000183,85,5,68
1000000660,9,3,293
1000000888,969,15,324
1000000292,816,14,52
1000000271,928,1,175
1000000822,178,12,311
1000000549,517,10,240
1000001435,195,11,91
1000000881,347,11,127
1000000896,168,7,203
1000000484,620,2,187
1000001394,25,9,165
1000000991,867,13,61
1000000610,931,13,204
1000000959,488,8,131
1000000405,751,12,44
1000000350,294,4,314
1000001364,811,8,236
1000001335,677,10,222
1000001437,770,13,178
1000001457,555,6,232
1000001155,712,15,228
1000000516,965,7,313
1000000224,921,7,183
1000001126,158,1,171
1000001195,862,11,294
1000001353,569,6,292
1000000607,177,3,91
1000000212,645,12,191
1000000509,829,3,44
1000000783,921,10,156
1000000540,465,2,98
1000000557,191,4,342
1000001509,84,5,243
1000000254,60,11,280
1000000588,717,10,242
1000000908,629,11,76
1000000373,712,9,301
1000000276,335,8,312
1000001524,943,4,128
1000000297,186,4,223
1000001269,291,12,342
1000001150,873,3,187
1000001220,517,12,186
1000000776,426,8,112
1000000828,655,2,245
1000000433,504,10,123
1000000936,174,9,155
1000000596,199,1,293
1000000984,603,12,291
1000001441,566,7,210
1000000237,189,2,275
1000001504,386,14,74
1000001505,770,11,262
1000000689,687,12,127
1000000463,212,10,324
1000001234,650,4,81
1000001084,997,3,138
1000000941,430,1,148
1000000973,978,11,245
1000001484,543,5,88
1000000404,66,14,110
1000001514,847,15,229
1000000419,765,5,106
1000000221,929,6,275
1000001112,349,6,252
1000001481,797,11,316
1000001273,522,14,342
1000000388,254,12,88
1000000052,787,1,216
1000000755,646,2,242
1000000359,630,13,43
1000000774,787,1,335
1000000674,693,8,115
1000000277,650,13,297
1000000964,202,2,291
1000001265,800,14,122
1000001351,309,13,196
1000000690,815,5,204
1000001502,767,13,194
1000001552,729,12,244
1000001298,804,13,162
1000000078,864,7,321
1000000272,299,12,272
1000001440,982,8,102
1000001210,541,10,232
1000001455,465,10,135
1000000766,751,5,325
1000000696,548,11,234
1000000608,782,3,155
